Sigma Ratio Sc_solvent Sc_all Rho Emol nbonds A11 A12 A13 A14 A15 A22 A23 A24 A25 A33 A34 A35 A44 A45 A55 B Gamma rD kB Fsrp Rsrp Press1 Press2 Comp1 Comp2 Comp3 Comp4 Comp5
18.4663 0.135724 63.1175 61.5769 7.44 0 0 -37.37 -22.05 -184.61 0.0 0.0 -68.39 -170.29 0.0 0.0 -83.77 0.0 0.0 0.0 0.0 0.0 10.12 14.47 1.08 14.4 31.5 1.75 -5.519 -0.711 0.97 0.029 0.001 0.0 0.0 
12.5019 0.250158 4.09613e+06 3.72879e+06 7.65 0 0 -74.65 -362.05 -362.05 -47.03 -264.26 -76.26 -253.18 -186.07 -32.79 -19.37 -12.78 -58.5 -41.11 -92.5 -109.68 69.22 15.4 1.45 0.0 0.0 0.0 267.366 -1.117 0.87 0.008 0.045 0.029 0.048 
20.9447 0.205251 8984.61 8612.42 4.46 0 0 -74.85 -248.5 -298.65 0.0 0.0 -20.22 -76.03 0.0 0.0 -87.33 0.0 0.0 0.0 0.0 0.0 31.24 14.24 1.62 0.0 0.0 0.0 -4.254 -1.422 0.956 0.015 0.029 0.0 0.0 
1.03696 0.370565 962.586 910.881 6.53 4564.9847 164 -28.41 -15.06 -72.16 -40.63 -78.7 -69.56 -175.99 -89.04 -129.38 -80.68 -158.13 -48.41 -97.14 -477.93 -118.75 44.29 14.67 1.33 40.9 55.2 1.81 194.502 -0.227 0.935 0.003 0.027 0.016 0.019 
3.98454 0.214507 1317.95 1266.95 6.2 0 0 -33.05 -63.79 -11.57 0.0 0.0 -71.09 -227.49 0.0 0.0 -102.75 0.0 0.0 0.0 0.0 0.0 41.62 13.19 1.65 0.0 0.0 0.0 109.486 -0.554 0.919 0.046 0.035 0.0 0.0 
19.8585 0.168315 9965.36 9656.03 6.03 50.139644 6 -91.4 -137.1 -290.65 -112.42 -330.87 -90.89 -49.08 -11.82 -16.36 -39.42 -67.8 -106.83 -59.55 -204.85 -21.94 63.66 15.83 1.33 10.5 97.4 1.6 -10.35 -0.757 0.911 0.019 0.028 0.038 0.004 
0.665998 0.912382 1971.81 1956.98 5.78 0 0 -27.52 -66.32 -57.24 0.0 0.0 -93.95 -297.82 0.0 0.0 -59.63 0.0 0.0 0.0 0.0 0.0 74.75 14.46 1.1 0.0 0.0 0.0 219.493 0.025 0.952 0.044 0.004 0.0 0.0 
30.3379 0.0776289 7.62759e+07 6.94673e+07 3.54 0 0 -64.64 -180.99 -153.2 -175.17 0.0 -24.64 -7.15 -93.63 0.0 -101.32 -129.69 0.0 -51.75 0.0 0.0 74.98 12.56 1.57 0.0 0.0 0.0 -3.488 -0.952 0.902 0.021 0.037 0.04 0.0 
17.1613 0.0735185 58.3191 58.3191 3.85 0 0 -73.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 41.3 13.19 1.17 0.0 0.0 0.0 -1.568 -0.524 1.0 0.0 0.0 0.0 0.0 
12.5544 0.206032 2036.22 2029.72 7.04 1568.4137 150 -63.32 -103.84 0.0 0.0 0.0 -74.41 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 50.84 15.76 1.38 13.5 86.1 1.55 200.808 -0.701 0.985 0.015 0.0 0.0 0.0 
